Real-time,Station1, Station2
12/20/2017 7:00,-1.026,0.017
12/20/2017 8:00,-1.028,0.012
12/20/2017 9:00,-1.024,0.891
12/20/2017 10:00,-1.029,0.039
12/20/2017 11:00,-0.844,0.032
12/20/2017 12:00,-1.249,-0.003
12/20/2017 13:00,-1.027,0.888
12/20/2017 14:00,-1.022,0.887
12/20/2017 15:00,-1.222,0.13
12/20/2017 16:00,-1.024,0.14
12/20/2017 17:00,-1.027,
12/20/2017 18:00,-1.024,-0.018
12/20/2017 19:00,-1.026,-0.018
12/20/2017 20:00,-1.027,-0.019
12/20/2017 21:00,-1.028,-0.015
12/20/2017 22:00,-1.027,-0.023
12/20/2017 23:00,-1.025,-0.013
12/21/2017 0:00,-1.027,-0.016
12/21/2017 1:00,-1.03,-0.01
12/21/2017 2:00,-1.025,-0.008
12/21/2017 3:00,-1.031,
12/21/2017 4:00,-1.03,-0.009
12/21/2017 5:00,-1.029,
12/21/2017 6:00,-1.034,-0.017
12/21/2017 7:00,-1.03,-0.018
12/21/2017 8:00,-1.03,-0.009
12/21/2017 9:00,-1.237,
12/21/2017 10:00,  ,
12/21/2017 11:00,-0.839,
12/21/2017 12:00,-1.229,0.181
12/21/2017 13:00,-1.23,0.127
12/21/2017 14:00,-1.235,
12/21/2017 15:00,-1.223,0.165
12/21/2017 16:00,  ,-0.004
12/21/2017 17:00,-1.024,0.132
12/21/2017 18:00,-1.027,0.001
12/21/2017 19:00,-1.029,-0.012
12/21/2017 20:00,-1.022,
12/21/2017 21:00,-1.032,-0.015
12/21/2017 22:00,-1.034,-0.012
12/21/2017 23:00,-1.032,-0.019
12/22/2017 0:00,-1.03,-0.015
12/22/2017 1:00,  ,-0.016
12/22/2017 2:00,-1.031,-0.011
12/22/2017 3:00,-1.034,-0.017
12/22/2017 4:00,-1.032,-0.02
12/22/2017 5:00,-1.032,-0.016
12/22/2017 6:00,-1.033,-0.019
12/22/2017 7:00,-1.032,-0.015
12/22/2017 8:00,  ,-0.022
12/22/2017 9:00,-1.026,-0.018
12/22/2017 10:00,-1.034,-0.019
12/22/2017 11:00,-0.858,0.126
12/22/2017 12:00,-1.239,
12/22/2017 13:00,-1.028,
12/22/2017 14:00,  ,0.155
12/22/2017 15:00,  ,0.029
12/22/2017 16:00,-1.229,0.009
12/22/2017 17:00,-1.258,0.13
12/22/2017 18:00,-1.101,
12/22/2017 19:00,-1.236,-0.012
12/22/2017 20:00,-1.235,-0.009
12/22/2017 21:00,-1.03,-0.006
12/22/2017 22:00,-1.026,-0.001
12/22/2017 23:00,-1.03,-0.017
12/23/2017 0:00,-1.03,-0.007
12/23/2017 1:00,-1.033,-0.001
12/23/2017 2:00,-1.037,0
12/23/2017 3:00,-1.037,-0.007
12/23/2017 4:00,-1.03,-0.013
12/23/2017 5:00,  ,0.002
12/23/2017 6:00,  ,0.005
12/23/2017 7:00,  ,-0.003
12/23/2017 8:00,-1.23,-0.004
12/23/2017 9:00,-1.216,
12/23/2017 10:00,  ,-0.006
12/23/2017 11:00,  ,-0.019
12/23/2017 12:00,  ,-0.01
12/23/2017 13:00,-1.26,-0.013
12/23/2017 14:00,-1.26,-0.009
12/23/2017 15:00,-1.247,
12/23/2017 16:00,-0.829,0.168
12/23/2017 17:00,-1.242,-0.023
12/23/2017 18:00,-1.24,-0.021
12/23/2017 19:00,-1.257,-0.025
12/23/2017 20:00,-1.238,-0.02
12/23/2017 21:00,-1.024,-0.021
12/23/2017 22:00,-1.02,-0.019
12/23/2017 23:00,-1.024,-0.016
12/24/2017 0:00,-1.028,-0.006
12/24/2017 1:00,-1.033,-0.005
12/24/2017 2:00,-1.04,-0.021
12/24/2017 3:00,  ,-0.011
12/24/2017 4:00,-0.813,-0.001
12/24/2017 5:00,-1.03,0.013
12/24/2017 6:00,-1.222,0.005
12/24/2017 7:00,-0.84,0.001
12/24/2017 8:00,-1.028,
12/24/2017 9:00,  ,
12/24/2017 10:00,-0.858,-0.001
12/24/2017 11:00,-1.031,-0.002
12/24/2017 12:00,  ,-0.01
12/24/2017 13:00,-1.028,-0.011
12/24/2017 14:00,-1.031,0.016
12/24/2017 15:00,-1.238,-0.002
12/24/2017 16:00,-1.224,-0.008
12/24/2017 17:00,-0.843,-0.013
12/24/2017 18:00,-1.027,-0.014
12/24/2017 19:00,-1.029,-0.012
12/24/2017 20:00,-1.027,-0.012
12/24/2017 21:00,-1.026,-0.019
12/24/2017 22:00,  ,-0.015
12/24/2017 23:00,-0.852,-0.024
12/25/2017 0:00,-1.088,-0.029
12/25/2017 1:00,-0.881,
12/25/2017 2:00,-1.099,-0.006
12/25/2017 3:00,-0.849,-0.018
12/25/2017 4:00,-1.03,0.162
12/25/2017 5:00,-1.03,0.913
12/25/2017 6:00,-1.041,
12/25/2017 7:00,  ,-0.013
12/25/2017 8:00,-0.852,-0.001
12/25/2017 9:00,-1.047,0.011
12/25/2017 10:00,-1.039,0.004
12/25/2017 11:00,-1.037,0.015
12/25/2017 12:00,-1.037,0.905
12/25/2017 13:00,-1.04,0.882
12/25/2017 14:00,-1.042,-0.019
12/25/2017 15:00,-1.052,
12/25/2017 16:00,  ,
12/25/2017 17:00,-0.968,-0.021
12/25/2017 18:00,-0.97,-0.025
12/25/2017 19:00,-0.971,-0.027
12/25/2017 20:00,-0.962,-0.025
12/25/2017 21:00,-1.024,-0.026
12/25/2017 22:00,  ,-0.025
12/25/2017 23:00,-1.032,-0.028
12/26/2017 0:00,-1.035,-0.029
12/26/2017 1:00,-1.035,-0.031
12/26/2017 2:00,-1.039,
12/26/2017 3:00,-1.038,-0.023
12/26/2017 4:00,-1.037,-0.013
12/26/2017 5:00,-1.032,0
12/26/2017 6:00,-1.038,0.038
12/26/2017 7:00,-1.038,0.135
12/26/2017 8:00,-1.041,
12/26/2017 9:00,-1.04,-0.222
12/26/2017 10:00,-1.041,0.066
12/26/2017 11:00,-1.043,
12/26/2017 12:00,-1.043,0.028
12/26/2017 13:00,-1.041,0.018
12/26/2017 14:00,-1.043,0.031
12/26/2017 15:00,-1.042,0.024
12/26/2017 16:00,-1.042,0.023
12/26/2017 17:00,-1.042,-0.016
12/26/2017 18:00,-1.041,-0.022
12/26/2017 19:00,-1.041,-0.014
12/26/2017 20:00,-1.038,-0.012
12/26/2017 21:00,-1.038,-0.014
12/26/2017 22:00,-1.039,-0.01
12/26/2017 23:00,-1.039,
12/27/2017 0:00,-1.04,-0.01
12/27/2017 1:00,  ,-0.011
12/27/2017 2:00,-1.039,0
12/27/2017 3:00,-1.039,0.009
12/27/2017 4:00,-1.04,0.004
12/27/2017 5:00,-1.041,-0.006
12/27/2017 6:00,-1.041,-0.002
12/27/2017 7:00,-1.044,-0.229
12/27/2017 8:00,-1.043,0.007
12/27/2017 9:00,  ,0
12/27/2017 10:00,-1.041,
12/27/2017 11:00,-1.043,0.01
12/27/2017 12:00,-1.043,0.003
12/27/2017 13:00,-1.043,0.005
12/27/2017 14:00,-1.045,-0.001
12/27/2017 15:00,-1.043,0.001
12/27/2017 16:00,-1.043,0.001
12/27/2017 17:00,-1.042,0.002
12/27/2017 18:00,-1.043,0.002
12/27/2017 19:00,-1.041,0.001
12/27/2017 20:00,-1.042,0.002
12/27/2017 21:00,-1.041,0
12/27/2017 22:00,-1.04,0
12/27/2017 23:00,  ,0.001
12/28/2017 0:00,-1.042,-0.002
12/28/2017 1:00,-1.043,0
12/28/2017 2:00,-1.042,-0.004
12/28/2017 3:00,-1.043,-0.004
12/28/2017 4:00,-1.044,-0.006
12/28/2017 5:00,-1.045,-0.006
12/28/2017 6:00,-1.047,-0.01
12/28/2017 7:00,-1.047,-0.007
12/28/2017 8:00,-1.046,-0.009
12/28/2017 9:00,-1.046,-0.027
12/28/2017 10:00,-1.047,-0.029
12/28/2017 11:00,-1.051,-0.038
12/28/2017 12:00,-1.048,-0.035
12/28/2017 13:00,-1.045,-0.023
12/28/2017 14:00,-1.048,-0.031
12/28/2017 15:00,-1.098,-0.033
12/28/2017 16:00,  ,-0.265
12/28/2017 17:00,  ,-0.018
12/28/2017 18:00,  ,-0.024
12/28/2017 19:00,  ,-0.027
12/28/2017 20:00,-0.957,-0.026
12/28/2017 21:00,-0.963,
12/28/2017 22:00,-0.955,
12/28/2017 23:00,-0.955,-0.01
12/29/2017 0:00,-0.953,-0.015
12/29/2017 1:00,-0.945,-0.016
12/29/2017 2:00,  ,-0.024
12/29/2017 3:00,  ,-0.022
12/29/2017 4:00,-0.944,0.01
12/29/2017 5:00,-0.937,-0.019
12/29/2017 6:00,-0.95,-0.022
12/29/2017 7:00,-0.957,-0.021
12/29/2017 8:00,-0.956,
12/29/2017 9:00,-0.958,0.004
12/29/2017 10:00,-0.959,-0.036
12/29/2017 11:00,-0.961,
12/29/2017 12:00,  ,-0.042
12/29/2017 13:00,-1.253,
12/29/2017 14:00,-0.957,-0.005
12/29/2017 15:00,-0.955,
12/29/2017 16:00,-0.964,-0.026
12/29/2017 17:00,-0.961,-0.01
12/29/2017 18:00,-0.961,-0.003
12/29/2017 19:00,-0.962,-0.007
12/29/2017 20:00,-0.957,-0.006
12/29/2017 21:00,-0.957,-0.005
12/29/2017 22:00,-1.303,-0.003
12/29/2017 23:00,-0.955,0.003
12/30/2017 0:00,-0.942,-0.019
12/30/2017 1:00,-0.938,-0.01
12/30/2017 2:00,-0.946,-0.012
12/30/2017 3:00,-0.933,
12/30/2017 4:00,-0.948,-0.008
12/30/2017 5:00,-0.952,
12/30/2017 6:00,-0.957,0.002
12/30/2017 7:00,-0.957,0.011
12/30/2017 8:00,-0.963,-0.01
12/30/2017 9:00,-0.965,
12/30/2017 10:00,  ,
12/30/2017 11:00,-0.99,
12/30/2017 12:00,-1.025,0.006
12/30/2017 13:00,-1.01,-0.295
12/30/2017 14:00,-0.973,-0.232
12/30/2017 15:00,-1.013,0.006
12/30/2017 16:00,-1.011,0.001
12/30/2017 17:00,-1.021,-0.008
12/30/2017 18:00,-1.013,0.001
12/30/2017 19:00,-1.022,0.005
12/30/2017 20:00,-1.022,-0.001
12/30/2017 21:00,-1.022,-0.002
12/30/2017 22:00,-1.021,0.002
12/30/2017 23:00,-1.019,-0.013
12/31/2017 0:00,-1.021,-0.001
12/31/2017 1:00,-1.022,0.001
12/31/2017 2:00,-1.022,-0.009
12/31/2017 3:00,-1.018,-0.012
12/31/2017 4:00,-1.021,-0.014
12/31/2017 5:00,-1.021,-0.012
12/31/2017 6:00,-1.022,-0.017
12/31/2017 7:00,-1.02,-0.025
12/31/2017 8:00,-1.024,-0.045
12/31/2017 9:00,-1.024,-0.022
12/31/2017 10:00,-1.024,-0.044
12/31/2017 11:00,-1.025,
12/31/2017 12:00,-1.022,-0.008
12/31/2017 13:00,-1.023,-0.025
12/31/2017 14:00,-1.023,-0.031
12/31/2017 15:00,  ,-0.031
12/31/2017 16:00,-1.024,-0.031
12/31/2017 17:00,-1.02,-0.028
12/31/2017 18:00,-1.131,-0.036
12/31/2017 19:00,-1.017,-0.03
12/31/2017 20:00,-1.138,-0.032
12/31/2017 21:00,-1.019,-0.03
12/31/2017 22:00,-1.02,-0.032
12/31/2017 23:00,-1.02,-0.036
1/1/2018 0:00,  ,
1/1/2018 1:00,  ,-0.028
1/1/2018 2:00,-1.13,-0.03
1/1/2018 3:00,-1.027,-0.033
1/1/2018 4:00,-1.021,-0.033
1/1/2018 5:00,-1.023,-0.033
1/1/2018 6:00,-1.025,-0.026
1/1/2018 7:00,-1.029,-0.003
1/1/2018 8:00,-1.023,-0.02
1/1/2018 9:00,  ,0.043
1/1/2018 10:00,-1.026,-0.033
1/1/2018 11:00,-1.127,0.004
1/1/2018 12:00,-1.025,0.104
1/1/2018 13:00,-1.027,0.107
1/1/2018 14:00,-1.028,0.147
1/1/2018 15:00,-1.029,0.004
1/1/2018 16:00,-1.026,0.015
1/1/2018 17:00,-1.027,0.017
