Real-time,RTD Average Upper Temperature (C)
2018-02-13 09:59:48,-3.826393
2018-02-13 10:59:55,-3.563922
2018-02-13 11:59:52,-3.181507
2018-02-13 12:59:48,-2.844838
2018-02-13 13:59:49,-1.909477
2018-02-13 14:59:48,-1.683489
2018-02-13 15:59:53,-1.975947
2018-02-13 16:59:48,-1.944524
2018-02-13 17:59:48,-3.186105
2018-02-13 18:59:49,-4.638034
2018-02-13 19:59:48,-5.509414
2018-02-13 20:59:47,-6.539022
2018-02-13 21:59:49,-7.22673
2018-02-13 22:59:48,-7.987399
2018-02-13 23:59:51,-8.280827
2018-02-14 00:59:48,-8.581374
2018-02-14 01:59:48,-8.783982
2018-02-14 02:59:48,-8.998439
2018-02-14 03:59:48,-8.89183
2018-02-14 04:59:58,-8.379721
2018-02-14 05:59:48,-7.791419
2018-02-14 06:59:48,-7.551735
2018-02-14 07:59:55,-7.188725
2018-02-14 08:59:56,-6.049326
2018-02-14 09:59:55,-5.970963
2018-02-14 10:59:48,-5.626357
2018-02-14 11:59:49,-5.212867
2018-02-14 12:59:48,-4.518893
2018-02-14 13:59:52,-4.51689
2018-02-14 14:59:55,-4.288024
2018-02-14 15:59:48,-4.481042
2018-02-14 16:59:52,-4.57401
2018-02-14 17:59:48,-4.592914
2018-02-14 18:59:48,-4.836162
2018-02-14 19:59:48,-4.812008
2018-02-14 20:59:57,-5.077208
2018-02-14 21:59:47,-5.182649
2018-02-14 22:59:56,-5.423989
2018-02-14 23:59:56,-6.155274
2018-02-15 00:59:50,-6.516768
2018-02-15 01:59:48,-6.986258
2018-02-15 02:59:48,-7.463813
2018-02-15 03:59:48,-7.59944
2018-02-15 04:59:48,-7.648218
2018-02-15 05:59:48,-7.344176
2018-02-15 06:59:48,-7.341741
2018-02-15 07:59:48,-7.237612
2018-02-15 08:59:50,-6.852164
2018-02-15 09:59:48,-6.54731
2018-02-15 10:59:56,-6.140696
2018-02-15 11:59:49,-5.531166
2018-02-15 12:59:47,-5.016752
2018-02-15 13:59:48,-4.709812
2018-02-15 14:59:48,-5.12579
2018-02-15 15:59:52,-5.326935
2018-02-15 16:59:48,-4.875569
2018-02-15 17:59:50,-6.694858
2018-02-15 18:59:54,-7.945029
2018-02-15 19:59:55,-7.464651
2018-02-15 20:59:47,-7.273958
2018-02-15 21:59:48,-7.364645
2018-02-15 22:59:48,-8.189986
2018-02-15 23:59:49,-9.108737
2018-02-16 00:59:47,-9.923018
2018-02-16 01:59:47,-10.81941
2018-02-16 02:59:55,-11.10635
2018-02-16 03:59:48,-11.06062
2018-02-16 05:59:52,-10.91859
2018-02-16 06:59:54,-10.01136
2018-02-16 07:59:48,-9.362038
2018-02-16 08:59:48,-8.669766
2018-02-16 09:59:48,-7.830937
2018-02-16 10:59:54,-7.023622
2018-02-16 11:59:49,-6.388265
2018-02-16 12:59:47,-5.913709
2018-02-16 13:59:47,-5.392814
2018-02-16 14:59:47,-5.202592
2018-02-16 15:59:55,-5.516708
2018-02-16 16:59:48,-5.806109
2018-02-16 17:59:47,-6.947664
2018-02-16 18:59:50,-8.404658
2018-02-16 19:59:56,-9.204493
2018-02-16 20:59:47,-9.777455
2018-02-16 21:59:47,-10.23472
2018-02-16 22:59:48,-10.6005
2018-02-16 23:59:48,-10.80796
2018-02-17 00:59:47,-11.241
2018-02-17 01:59:47,-11.47525
2018-02-17 02:59:48,-11.44105
2018-02-17 03:59:48,-11.86147
2018-02-17 04:59:56,-11.47136
2018-02-17 05:59:48,-10.86197
2018-02-17 06:59:47,-10.47243
2018-02-17 07:59:52,-9.99993
2018-02-17 08:59:47,-9.028174
2018-02-17 09:59:52,-8.183189
2018-02-17 10:59:48,-7.593834
2018-02-17 11:59:49,-6.990776
2018-02-17 12:59:47,-6.514163
2018-02-17 13:59:47,-6.344234
2018-02-17 14:59:48,-6.516584
2018-02-17 15:59:47,-7.172456
2018-02-17 16:59:47,-7.821844
2018-02-17 17:59:47,-8.562866
2018-02-17 18:59:48,-9.485254
2018-02-17 19:59:53,-10.52207
2018-02-17 20:59:47,-10.87913
2018-02-18 00:59:47,-12.87629
2018-02-18 01:59:47,-13.20556
2018-02-18 02:59:58,-13.41296
2018-02-18 03:59:51,-13.48574
2018-02-18 04:59:47,-13.4948
2018-02-18 05:59:48,-13.01849
2018-02-18 06:59:47,-12.48238
2018-02-18 07:59:54,-11.81889
2018-02-18 08:59:47,-11.13641
2018-02-18 09:59:47,-10.4502
2018-02-18 10:59:52,-9.707606
2018-02-18 11:59:47,-9.34484
2018-02-18 12:59:47,-9.25758
2018-02-18 13:59:47,-9.108944
2018-02-18 14:59:47,-8.908917
2018-02-18 15:59:47,-8.884005
2018-02-18 16:59:47,-8.907318
2018-02-18 17:59:51,-9.80619
2018-02-18 18:59:47,-9.103969
2018-02-18 19:59:55,-8.317256
2018-02-18 20:59:47,-7.888148
2018-02-18 21:59:47,-7.542369
