Real-time,RTD Average Upper Temperature (C)
2018-02-11 07:00:58,-6.843841
2018-02-11 08:01:03,-6.599733
2018-02-11 09:01:05,-6.536654
2018-02-11 10:01:05,-7.02647
2018-02-11 11:00:57,-6.737586
2018-02-11 12:00:56,-7.231882
2018-02-11 13:00:56,-7.154479
2018-02-11 14:00:57,-6.954839
2018-02-11 15:00:57,-6.789647
2018-02-11 16:00:56,-6.945231
2018-02-11 17:00:56,-7.501999
2018-02-11 18:00:57,-7.895158
2018-02-11 19:00:56,-8.803914
2018-02-11 20:00:56,-8.28179
2018-02-11 21:00:58,-8.00798
2018-02-11 22:00:56,-7.723845
2018-02-11 23:01:04,-8.35646
2018-02-12 00:01:04,-10.04437
2018-02-12 01:01:02,-10.28171
2018-02-12 02:00:56,-10.57489
2018-02-12 03:00:56,-10.86135
2018-02-12 04:00:57,-10.53946
2018-02-12 05:01:03,-9.970906
2018-02-12 06:00:56,-9.068928
2018-02-12 07:00:56,-8.425196
2018-02-12 08:01:05,-7.319791
2018-02-12 09:00:57,-6.386156
2018-02-12 10:00:57,-6.913368
2018-02-12 11:00:56,-8.066662
2018-02-12 12:00:56,-8.405397
2018-02-12 13:00:56,-8.78021
2018-02-12 14:00:57,-7.430544
2018-02-12 15:00:56,-8.198126
2018-02-12 16:00:57,-8.817136
2018-02-12 17:01:05,-8.290372
2018-02-12 18:00:57,-8.572393
2018-02-12 19:01:00,-10.09652
2018-02-12 20:00:56,-10.3511
2018-02-12 21:00:56,-10.20033
2018-02-12 22:00:56,-9.654578
2018-02-12 23:00:57,-10.07378
2018-02-13 00:00:56,-11.37089
2018-02-13 01:01:01,-11.32674
2018-02-13 02:00:56,-10.20511
2018-02-13 03:01:04,-9.064464
2018-02-13 04:00:56,-8.942972
2018-02-13 05:00:56,-8.352787
2018-02-13 06:01:06,-7.880424
2018-02-13 07:00:56,-6.91793
2018-02-13 08:01:05,-6.32311
2018-02-13 09:00:56,-5.752158
